K,Procedimento,Repetição ou elemento,N UFs comparadas,ARI
6,Retirada de UF,Roraima,26,0.8773893360160966
6,Retirada de UF,Santa Catarina,26,0.8853615520282186
6,Retirada de UF,Sergipe,26,0.8054824036389754
6,Retirada de UF,São Paulo,26,1.0
6,Retirada de UF,Tocantins,26,0.6534653465346535
6,Retirada de variável,Crescimento logarítmico,27,0.3359609017814914
6,Retirada de variável,Mudança na presença em TI (p.p.),27,0.661024702653248
6,Retirada de variável,Mudança na urbanização (p.p.),27,0.36079903622559045
6,Retirada de variável,População 2022 (log10),27,0.6352109748493037
6,Retirada de variável,Presença em TI 2022 (%),27,1.0
6,Retirada de variável,Urbanização 2022 (%),27,0.7474690374633846
6,Subamostra de 80%,1,27,0.34701912260967377
6,Subamostra de 80%,10,27,0.3452329236194516
6,Subamostra de 80%,100,27,0.4530047725723191
6,Subamostra de 80%,11,27,0.7890680113918428
6,Subamostra de 80%,12,27,0.850798889805716
6,Subamostra de 80%,13,27,0.41424780455776544
6,Subamostra de 80%,14,27,0.5226827676240209
6,Subamostra de 80%,15,27,0.7628871336520474
6,Subamostra de 80%,16,27,0.30163151611619576
6,Subamostra de 80%,17,27,0.6463064878691575
6,Subamostra de 80%,18,27,0.7890680113918428
6,Subamostra de 80%,19,27,0.850798889805716
6,Subamostra de 80%,2,27,0.5335920059530137
6,Subamostra de 80%,20,27,0.929408215596561
6,Subamostra de 80%,21,27,0.7602081034210941
6,Subamostra de 80%,22,27,0.37856406733081416
6,Subamostra de 80%,23,27,0.3781190019193858
6,Subamostra de 80%,24,27,0.3433797547287466
6,Subamostra de 80%,25,27,0.7890680113918428
6,Subamostra de 80%,26,27,0.661024702653248
6,Subamostra de 80%,27,27,0.8880620814287233
6,Subamostra de 80%,28,27,0.8099808061420346
6,Subamostra de 80%,29,27,0.7249703005333266
6,Subamostra de 80%,3,27,0.4530047725723191
6,Subamostra de 80%,30,27,0.8196207410452747
6,Subamostra de 80%,31,27,0.9210111769559673
6,Subamostra de 80%,32,27,0.929408215596561
6,Subamostra de 80%,33,27,0.8941123233948414
6,Subamostra de 80%,34,27,0.7628871336520474
6,Subamostra de 80%,35,27,0.39609656433141566
6,Subamostra de 80%,36,27,0.7628871336520474
6,Subamostra de 80%,37,27,0.3486716933267564
6,Subamostra de 80%,38,27,0.38573106705343657
6,Subamostra de 80%,39,27,1.0
6,Subamostra de 80%,4,27,0.8880620814287233
6,Subamostra de 80%,40,27,0.8290639914288497
6,Subamostra de 80%,41,27,0.832093122143085
6,Subamostra de 80%,42,27,0.7581573896353166
6,Subamostra de 80%,43,27,0.5226827676240209
6,Subamostra de 80%,44,27,0.8669211131612871
6,Subamostra de 80%,45,27,0.7890680113918428
6,Subamostra de 80%,46,27,1.0
6,Subamostra de 80%,47,27,0.661024702653248
6,Subamostra de 80%,48,27,0.8880620814287233
6,Subamostra de 80%,49,27,0.38883797653958946
6,Subamostra de 80%,5,27,0.850798889805716
6,Subamostra de 80%,50,27,0.3470234688036634
6,Subamostra de 80%,51,27,0.7474690374633846
6,Subamostra de 80%,52,27,0.825407879029049
6,Subamostra de 80%,53,27,1.0
6,Subamostra de 80%,54,27,0.8764643772939816
6,Subamostra de 80%,55,27,0.465239355304306
6,Subamostra de 80%,56,27,0.7581573896353166
6,Subamostra de 80%,57,27,0.4210583240948544
6,Subamostra de 80%,58,27,1.0
6,Subamostra de 80%,59,27,0.4397600308217293
6,Subamostra de 80%,6,27,0.6477370082980443
6,Subamostra de 80%,60,27,0.3452329236194516
6,Subamostra de 80%,61,27,0.4397600308217293
6,Subamostra de 80%,62,27,0.5433103562827007
6,Subamostra de 80%,63,27,0.929408215596561
6,Subamostra de 80%,64,27,0.7581573896353166
6,Subamostra de 80%,65,27,0.4397600308217293
6,Subamostra de 80%,66,27,0.4532093107262999
6,Subamostra de 80%,67,27,0.7890680113918428
6,Subamostra de 80%,68,27,0.7890680113918428
6,Subamostra de 80%,69,27,0.8669211131612871
6,Subamostra de 80%,7,27,0.7427141521118217
6,Subamostra de 80%,70,27,0.5163147792706334
6,Subamostra de 80%,71,27,0.8941123233948414
6,Subamostra de 80%,72,27,1.0
6,Subamostra de 80%,73,27,0.4391691394658754
6,Subamostra de 80%,74,27,0.48261665141811527
6,Subamostra de 80%,75,27,0.37285196279363075
6,Subamostra de 80%,76,27,0.7890680113918428
6,Subamostra de 80%,77,27,0.7427141521118217
6,Subamostra de 80%,78,27,0.4210583240948544
6,Subamostra de 80%,79,27,0.4391691394658754
6,Subamostra de 80%,8,27,0.465239355304306
6,Subamostra de 80%,80,27,0.7628871336520474
6,Subamostra de 80%,81,27,0.7602081034210941
6,Subamostra de 80%,82,27,0.7063339731285988
6,Subamostra de 80%,83,27,1.0
6,Subamostra de 80%,84,27,0.7890680113918428
6,Subamostra de 80%,85,27,0.8880620814287233
6,Subamostra de 80%,86,27,1.0
6,Subamostra de 80%,87,27,0.3433797547287466
6,Subamostra de 80%,88,27,0.3190907282132909
6,Subamostra de 80%,89,27,0.5321725321158154
6,Subamostra de 80%,9,27,0.43111831442463533
6,Subamostra de 80%,90,27,0.7474690374633846
6,Subamostra de 80%,91,27,0.43111831442463533
6,Subamostra de 80%,92,27,0.8405099831609334
6,Subamostra de 80%,93,27,0.7249703005333266
6,Subamostra de 80%,94,27,0.3686725936584614
6,Subamostra de 80%,95,27,1.0
6,Subamostra de 80%,96,27,0.7177536783083042
6,Subamostra de 80%,97,27,0.6558148656599333
6,Subamostra de 80%,98,27,0.7581573896353166
6,Subamostra de 80%,99,27,0.4759014025897731
