Ordem da relação,Relação,Variável X,Variável Y,UF retirada hipoteticamente,Região,N completo,N sem UF,Spearman completo (ρ),Spearman sem UF (ρ),Variação de ρ,Variação absoluta de ρ,Rank de influência na relação
3,Magnitude populacional × presença em TI em 2022,Indígenas 2022 Total,Presença em TI 2022 (%),Amapá,Norte,27,26,0.36910395789521805,0.44623013132943207,0.07712617343421402,0.07712617343421402,1
3,Magnitude populacional × presença em TI em 2022,Indígenas 2022 Total,Presença em TI 2022 (%),Distrito Federal,Centro-Oeste,27,26,0.36910395789521805,0.29777777777777775,-0.0713261801174403,0.0713261801174403,2
3,Magnitude populacional × presença em TI em 2022,Indígenas 2022 Total,Presença em TI 2022 (%),Piauí,Nordeste,27,26,0.36910395789521805,0.2985125706134822,-0.07059138728173586,0.07059138728173586,3
3,Magnitude populacional × presença em TI em 2022,Indígenas 2022 Total,Presença em TI 2022 (%),Bahia,Nordeste,27,26,0.36910395789521805,0.4376816613805924,0.06857770348537434,0.06857770348537434,4
3,Magnitude populacional × presença em TI em 2022,Indígenas 2022 Total,Presença em TI 2022 (%),Sergipe,Nordeste,27,26,0.36910395789521805,0.3070610405623218,-0.06204291733289624,0.06204291733289624,5
3,Magnitude populacional × presença em TI em 2022,Indígenas 2022 Total,Presença em TI 2022 (%),Rio Grande do Norte,Nordeste,27,26,0.36910395789521805,0.31282051282051276,-0.056283445074705285,0.056283445074705285,6
3,Magnitude populacional × presença em TI em 2022,Indígenas 2022 Total,Presença em TI 2022 (%),Goiás,Centro-Oeste,27,26,0.36910395789521805,0.31731920450092943,-0.05178475339428862,0.05178475339428862,7
3,Magnitude populacional × presença em TI em 2022,Indígenas 2022 Total,Presença em TI 2022 (%),Rio de Janeiro,Sudeste,27,26,0.36910395789521805,0.31731920450092943,-0.05178475339428862,0.05178475339428862,8
3,Magnitude populacional × presença em TI em 2022,Indígenas 2022 Total,Presença em TI 2022 (%),Amazonas,Norte,27,26,0.36910395789521805,0.4178492110992843,0.04874525320406625,0.04874525320406625,9
3,Magnitude populacional × presença em TI em 2022,Indígenas 2022 Total,Presença em TI 2022 (%),Tocantins,Norte,27,26,0.36910395789521805,0.4164814559074699,0.04737749801225183,0.04737749801225183,10
3,Magnitude populacional × presença em TI em 2022,Indígenas 2022 Total,Presença em TI 2022 (%),Pernambuco,Nordeste,27,26,0.36910395789521805,0.41511370071565556,0.046009742820437516,0.046009742820437516,11
3,Magnitude populacional × presença em TI em 2022,Indígenas 2022 Total,Presença em TI 2022 (%),Mato Grosso,Centro-Oeste,27,26,0.36910395789521805,0.34057104276177347,-0.02853291513344458,0.02853291513344458,12
3,Magnitude populacional × presença em TI em 2022,Indígenas 2022 Total,Presença em TI 2022 (%),Roraima,Norte,27,26,0.36910395789521805,0.34399043074130936,-0.025113527153908688,0.025113527153908688,13
3,Magnitude populacional × presença em TI em 2022,Indígenas 2022 Total,Presença em TI 2022 (%),Maranhão,Nordeste,27,26,0.36910395789521805,0.34672594112493804,-0.022378016770280007,0.022378016770280007,14
3,Magnitude populacional × presença em TI em 2022,Indígenas 2022 Total,Presença em TI 2022 (%),Paraíba,Nordeste,27,26,0.36910395789521805,0.39049410726299727,0.02139014936777922,0.02139014936777922,15
3,Magnitude populacional × presença em TI em 2022,Indígenas 2022 Total,Presença em TI 2022 (%),Rondônia,Norte,27,26,0.36910395789521805,0.3884424744752757,0.01933851658005764,0.01933851658005764,16
3,Magnitude populacional × presença em TI em 2022,Indígenas 2022 Total,Presença em TI 2022 (%),Acre,Norte,27,26,0.36910395789521805,0.3870747192834614,0.017970761388243328,0.017970761388243328,17
3,Magnitude populacional × presença em TI em 2022,Indígenas 2022 Total,Presença em TI 2022 (%),Ceará,Nordeste,27,26,0.36910395789521805,0.38365533130392554,0.01455137340870749,0.01455137340870749,18
3,Magnitude populacional × presença em TI em 2022,Indígenas 2022 Total,Presença em TI 2022 (%),Minas Gerais,Sudeste,27,26,0.36910395789521805,0.38365533130392554,0.01455137340870749,0.01455137340870749,19
3,Magnitude populacional × presença em TI em 2022,Indígenas 2022 Total,Presença em TI 2022 (%),Rio Grande do Sul,Sul,27,26,0.36910395789521805,0.38365533130392554,0.01455137340870749,0.01455137340870749,20
3,Magnitude populacional × presença em TI em 2022,Indígenas 2022 Total,Presença em TI 2022 (%),São Paulo,Sudeste,27,26,0.36910395789521805,0.38365533130392554,0.01455137340870749,0.01455137340870749,21
3,Magnitude populacional × presença em TI em 2022,Indígenas 2022 Total,Presença em TI 2022 (%),Santa Catarina,Sul,27,26,0.36910395789521805,0.3809198209202968,0.011815863025078754,0.011815863025078754,22
3,Magnitude populacional × presença em TI em 2022,Indígenas 2022 Total,Presença em TI 2022 (%),Paraná,Sul,27,26,0.36910395789521805,0.38023594332438965,0.011131985429171598,0.011131985429171598,23
3,Magnitude populacional × presença em TI em 2022,Indígenas 2022 Total,Presença em TI 2022 (%),Alagoas,Nordeste,27,26,0.36910395789521805,0.35835186025536,-0.010752097639858071,0.010752097639858071,24
3,Magnitude populacional × presença em TI em 2022,Indígenas 2022 Total,Presença em TI 2022 (%),Pará,Norte,27,26,0.36910395789521805,0.37544880015303944,0.0063448422578213926,0.0063448422578213926,25
3,Magnitude populacional × presença em TI em 2022,Indígenas 2022 Total,Presença em TI 2022 (%),Mato Grosso do Sul,Centro-Oeste,27,26,0.36910395789521805,0.365874513810339,-0.003229444084879074,0.003229444084879074,26
3,Magnitude populacional × presença em TI em 2022,Indígenas 2022 Total,Presença em TI 2022 (%),Espírito Santo,Sudeste,27,26,0.36910395789521805,0.37134553457759634,0.002241576682378288,0.002241576682378288,27
4,Crescimento × mudança da urbanização,Crescimento relativo (%),Mudança na urbanização (p.p.),Rio Grande do Norte,Nordeste,27,26,0.3345543345543345,0.4947008547008547,0.1601465201465202,0.1601465201465202,1
4,Crescimento × mudança da urbanização,Crescimento relativo (%),Mudança na urbanização (p.p.),Piauí,Nordeste,27,26,0.3345543345543345,0.45777777777777773,0.12322344322344325,0.12322344322344325,2
4,Crescimento × mudança da urbanização,Crescimento relativo (%),Mudança na urbanização (p.p.),Ceará,Nordeste,27,26,0.3345543345543345,0.388034188034188,0.05347985347985351,0.05347985347985351,3
4,Crescimento × mudança da urbanização,Crescimento relativo (%),Mudança na urbanização (p.p.),Amazonas,Norte,27,26,0.3345543345543345,0.28683760683760684,-0.047716727716727636,0.047716727716727636,4
4,Crescimento × mudança da urbanização,Crescimento relativo (%),Mudança na urbanização (p.p.),Bahia,Nordeste,27,26,0.3345543345543345,0.29435897435897435,-0.04019536019536013,0.04019536019536013,5
4,Crescimento × mudança da urbanização,Crescimento relativo (%),Mudança na urbanização (p.p.),Distrito Federal,Centro-Oeste,27,26,0.3345543345543345,0.3005128205128205,-0.034041514041513954,0.034041514041513954,6
4,Crescimento × mudança da urbanização,Crescimento relativo (%),Mudança na urbanização (p.p.),Sergipe,Nordeste,27,26,0.3345543345543345,0.305982905982906,-0.02857142857142847,0.02857142857142847,7
4,Crescimento × mudança da urbanização,Crescimento relativo (%),Mudança na urbanização (p.p.),Rio Grande do Sul,Sul,27,26,0.3345543345543345,0.30735042735042734,-0.02720390720390714,0.02720390720390714,8
4,Crescimento × mudança da urbanização,Crescimento relativo (%),Mudança na urbanização (p.p.),Goiás,Centro-Oeste,27,26,0.3345543345543345,0.3613675213675213,0.02681318681318684,0.02681318681318684,9
4,Crescimento × mudança da urbanização,Crescimento relativo (%),Mudança na urbanização (p.p.),Minas Gerais,Sudeste,27,26,0.3345543345543345,0.31008547008547005,-0.024468864468864426,0.024468864468864426,10
4,Crescimento × mudança da urbanização,Crescimento relativo (%),Mudança na urbanização (p.p.),Paraná,Sul,27,26,0.3345543345543345,0.31008547008547005,-0.024468864468864426,0.024468864468864426,11
4,Crescimento × mudança da urbanização,Crescimento relativo (%),Mudança na urbanização (p.p.),Amapá,Norte,27,26,0.3345543345543345,0.3121367521367521,-0.02241758241758235,0.02241758241758235,12
4,Crescimento × mudança da urbanização,Crescimento relativo (%),Mudança na urbanização (p.p.),Tocantins,Norte,27,26,0.3345543345543345,0.3182905982905983,-0.016263736263736173,0.016263736263736173,13
4,Crescimento × mudança da urbanização,Crescimento relativo (%),Mudança na urbanização (p.p.),Paraíba,Nordeste,27,26,0.3345543345543345,0.31897435897435894,-0.015579975579975536,0.015579975579975536,14
4,Crescimento × mudança da urbanização,Crescimento relativo (%),Mudança na urbanização (p.p.),Acre,Norte,27,26,0.3345543345543345,0.31965811965811963,-0.014896214896214843,0.014896214896214843,15
4,Crescimento × mudança da urbanização,Crescimento relativo (%),Mudança na urbanização (p.p.),Pará,Norte,27,26,0.3345543345543345,0.3203418803418803,-0.01421245421245415,0.01421245421245415,16
4,Crescimento × mudança da urbanização,Crescimento relativo (%),Mudança na urbanização (p.p.),Pernambuco,Nordeste,27,26,0.3345543345543345,0.3217094017094017,-0.012844932844932766,0.012844932844932766,17
